Bigrams,TF-IDF Values
george soros,1119
deep state,136
ect ect,59
united state,103
kike kike,65
alex jones,15
soros soros,76
world order,109
klaus schwab,57
white hat,44
free speech,12
central bank,114
new world,102
open society,219
zionist jew,36
social medium,34
support ukraine,5
rothschild family,63
bill gate,42
general flynn,7
davos group,52
economic forum,36
russia ukraine,37
new year,9
nigger kike,23
elon musk,13
world economic,38
white house,134
new york,74
white people,77
supreme court,10
president trump,47
musk george,0
soros open,123
gate foundation,15
joe biden,79
stock market,30
khazarian mafia,29
big tech,56
society foundation,90
year old,27
truth social,35
election fraud,21
federal reserve,33
grand jury,32
amazon blackrock,0
blackrock pfizer,0
dajjalthe antichrist,15
crime family,41
world war,29
soros schwab,72
schwab soros,14
attachment view,64
schwab george,22
joe rogan,2
soros wef,5
schwab wef,9
soros nazi,30
hunter biden,25
soros world,12
climate change,19
great reset,13
soros davos,6
fox news,27
medium figure,15
donald trump,49
jacob rothschild,38
trump trump,6
big pharma,66
soros gate,28
soros klaus,16
tax money,10
nazi soros,48
classified document,22
john kerry,13
banking system,87
soros family,67
district attorney,52
jew jew,49
soros george,48
eastern european,47
eu financial,47
hillary clinton,46
biden white,46
azov batallion,42
soros money,41
soros obama,41
crime humanity,40
nato country,40
division white,38
kikeuntil jew,38
people kikeuntil,38
conspiracy theory,36
soros biden,36
gate fauci,36
jewish israeli,36
kike shill,35
house dozen,35
kike nigger,34
soros da,34
