id,Term,zog,kike,george soros,rothschild,nigger,Average,predict,true_label
0,george_soros,0.236616597,0.16336605,1,0.133439511,0.079023078,0.322489047,1,1
1,deep_state,0.201637283,0.150941581,0.400053591,0.217507333,0.168450519,0.227718061,1,1
2,ect_ect,0.105124302,0.014445241,0.172353923,0.192080513,0.03813643,0.104428082,0,0
3,united_state,0.141195193,0.111538723,0.225366399,0.059033092,0.146813318,0.136789345,0,0
4,kike_kike,0.015723353,-0.061291294,-0.014333961,-0.002607815,-0.048123956,-0.022126735,0,0
5,alex_jones,0.184258699,0.18215102,0.343877643,0.21550642,0.197956398,0.224750036,1,1
6,soros_soros,-0.044375107,-0.070651431,-0.079776806,-0.045412435,-0.054152531,-0.058873662,0,0
7,world_order,0.350827754,0.318564713,0.447834313,0.314220846,0.303260475,0.34694162,1,1
8,klaus_schwab,0.227471858,0.171808049,0.606396973,0.198248446,0.062096037,0.253204273,1,1
9,white_hat,0.224848956,0.116846249,0.191621274,0.248228654,0.099283747,0.176165776,1,1
10,free_speech,0.259372056,0.374656945,0.303872675,0.091737337,0.371572018,0.280242206,1,1
11,central_bank,0.142490849,0.202360004,0.009126727,0.161822096,0.267399937,0.156639922,1,1
12,new_world,0.145507991,0.122935809,0.207882389,0.170553133,0.065723367,0.142520538,1,1
13,open_society,0.122707672,0.077557147,0.584469438,0.014255608,0.048430867,0.169484146,1,1
14,zionist_jew,0.244671196,0.253820539,0.100109428,0.194375604,0.297439247,0.218083203,1,1
15,social_medium,0.17484574,0.252802968,0.221108928,0.048746925,0.158706844,0.171242281,1,1
16,support_ukraine,0.212923288,0.255982012,0.350821018,0.211757615,0.198055208,0.245907828,1,1
17,rothschild_family,0.195718616,0.30573827,0.215818092,0.441163242,0.12142197,0.255972038,1,1
18,bill_gate,0.177155942,0.193841264,0.517334878,0.235291809,0.099535517,0.244631882,1,0
19,general_flynn,0.113441974,0.053117104,0.146663964,0.049622107,0.038991675,0.080367365,0,0
20,davos_group,0.110615037,0.019440237,0.31777069,0.276540339,-0.052366149,0.134400031,0,1
21,economic_forum,0.144561321,0.080865405,0.517813563,0.219254553,-0.007053303,0.191088308,1,1
22,russia_ukraine,0.363863677,0.295352221,0.229142144,0.185066789,0.245802626,0.263845491,1,1
23,new_year,0.254486531,0.232626587,0.060374714,0.110153891,0.317734152,0.195075175,1,0
24,nigger_kike,0.463285714,0.649977863,0.199612424,0.183418557,0.75608319,0.45047555,1,1
25,elon_musk,0.151628911,0.181695163,0.470925957,0.152371362,0.056883838,0.202701046,1,1
26,world_economic,0.178233206,0.13542819,0.398487657,0.243648306,0.020756572,0.195310786,1,1
27,white_house,-0.014532039,0.02999316,0.19742009,0.02312107,0.068071559,0.060814768,0,0
28,new_york,0.111104645,0.111248314,0.262099653,0.203587785,0.148532525,0.167314585,1,0
29,white_people,0.370410085,0.497888356,0.1254327,0.085712597,0.608251035,0.337538955,1,1
30,supreme_court,0.077768244,0.088650376,0.173822179,0.051662575,0.128073573,0.103995389,0,0
31,president_trump,0.227910295,0.259394228,0.353854597,0.170788258,0.26017487,0.25442445,1,0
32,musk_george,0.008055838,-0.087955191,-0.039449656,-0.055248052,-0.021396742,-0.03919876,0,0
33,soros_open,0.02485816,0.125792369,0.189523876,0.084302895,0.112183407,0.107332141,0,0
34,gate_foundation,-0.013660852,0.043526419,0.369873405,0.149650618,-0.011081736,0.107661571,0,0
35,joe_biden,0.231282964,0.169177532,0.442695439,0.146133065,0.07689625,0.21323705,1,1
