,zog,kike,george_soros,rothschild,Mean,Classification
deep_state,0.2016373,0.15094158,0.40005368,0.21750735,0.24253498,True
banking_system,0.2295043,0.15132329,0.16018443,0.31458884,0.21390022,True
central_bank,0.14249086,0.20235999,0.009126734,0.1618221,0.12894991,False
muslim_christian,0.22011611,0.31521836,0.08885609,0.21952824,0.2109297,False
profile_previous,0.27304196,0.34111494,0.07766527,0.023784364,0.17890163,False
pinned_comment,0.2779051,0.3432439,0.08597339,0.014771482,0.18047346,False
year_old,0.2735011,0.45182243,0.29136238,0.21901229,0.30892456,False
social_medium,0.17484573,0.252803,0.22110891,0.048746914,0.17437613,False
kike_shill,0.4731487,0.665586,0.24651909,0.15533812,0.385148,True
date_birth,0.22196619,0.24807356,0.19594945,0.06844357,0.1836082,False
white_people,0.37041008,0.49788836,0.1254327,0.08571259,0.26986092,False
climate_change,0.21099819,0.14445974,0.40279198,0.14020284,0.22461317,True
kike_nigger,0.47464082,0.6874195,0.18040982,0.17989269,0.38059068,True
fucking_kike,0.5225496,0.77542657,0.2624294,0.2871442,0.46188745,True
nigger_kike,0.4632857,0.64997786,0.19961247,0.18341856,0.37407365,True
place_world,0.24064726,0.2366719,0.015759844,0.119481444,0.15314011,False
digital_banking,0.18282136,0.10364728,0.15934911,0.271854,0.17941794,False
persona_non,0.19215125,0.29506257,0.3306841,0.25826612,0.269041,False
ect_ect,0.10512432,0.014445238,0.1723539,0.19208051,0.12100099,False
white_hat,0.22484894,0.116846256,0.1916213,0.24822862,0.19538628,False
non_grata,0.1613735,0.16778204,0.08044977,0.10235743,0.12799068,False
conspiracy_theory,0.13381259,0.30709913,0.3214033,0.07697034,0.20982134,False
open_border,0.24495865,0.18550837,0.38106486,0.0795507,0.22277065,True
satellite_office,0.12586379,0.14624113,0.17752858,0.12260721,0.14306018,False
fuck_kike,0.52529985,0.7487868,0.1945251,0.22639777,0.4237524,True
family_member,0.28138205,0.4453867,0.26718298,0.22319964,0.30428782,False
money_laundering,0.18733071,0.14357877,0.28241464,0.2222903,0.20890361,False
faggot_kike,0.4744388,0.70431846,0.27788457,0.24044862,0.4242726,True
classified_document,0.09421996,0.21068797,0.20992418,0.062068727,0.1442252,False
medium_figure,-0.044120222,0.10066969,0.36116844,0.09192605,0.127411,True
nuclear_bomb,0.37856382,0.32907292,0.1528451,0.1702002,0.2576705,False
kike_faggot,0.516526,0.7319701,0.22876823,0.24611974,0.430846,True
communist_occupation,0.14781344,0.21618335,0.056648437,0.0813995,0.12551118,False
secret_society,0.0754879,0.19580743,-0.011929549,0.33672124,0.14902174,True
grand_jury,0.08023497,0.09219801,0.19461459,0.08515858,0.11305153,False
piece_shit,0.4727676,0.63259804,0.2746878,0.22935726,0.40235266,True
long_time,0.2894126,0.2955559,0.3139748,0.21992972,0.27971825,False
world_order,0.3508278,0.3185647,0.4478343,0.31422088,0.35786194,True
support_good,0.19657683,0.22726852,0.12230872,0.17391977,0.18001845,False
past_year,0.26602268,0.28520215,0.32418004,0.12634997,0.2504387,False
new_world,0.145508,0.1229358,0.20788242,0.17055313,0.16171984,False
million_dollar,0.07671945,0.10526986,0.37209812,0.22568847,0.19494396,True
color_revolution,0.24960062,0.235704,0.31743777,0.2341589,0.2592253,False
banking_family,0.21011363,0.31379953,0.23304355,0.38884065,0.28644934,True
tranny_kike,0.43169174,0.5888513,0.060812943,0.10629735,0.29691333,False
actual_date,0.23390721,0.26056305,0.18878952,0.055903498,0.1847908,False
world_government,0.3476673,0.2501393,0.27311966,0.29224846,0.2907937,False
hundred_thousand,0.31636915,0.36022067,0.21876194,0.25290135,0.28706327,False
filthy_kike,0.5291247,0.7176128,0.28798845,0.25059986,0.44633144,True
double_digit,0.5082903,0.6068173,0.29202035,0.30210063,0.42730713,True
tax_money,0.22655751,0.25191945,0.20609474,0.13588135,0.20511326,False
single_person,0.39269397,0.5294674,0.33441985,0.26269054,0.37981793,True
military_tribunal,0.14007044,0.12614067,0.23849079,0.18263364,0.17183387,False
mainstream_medium,0.23449111,0.35849485,0.34519064,0.17185865,0.27750883,False
world_war,0.37037456,0.32070386,0.18165159,0.22461233,0.2743356,False
von_der,0.34597248,0.20023048,0.20891388,0.2564238,0.25288516,False
investment_bank,0.16988677,0.24403097,0.21564569,0.3218591,0.23785561,True
hell_lot,0.12969829,0.11766225,0.24936917,0.12023263,0.1542406,False
federal_government,0.30008566,0.30673382,0.26352012,0.18785062,0.26454756,False
real_life,0.34241822,0.5423805,0.3017408,0.16879588,0.33883387,False
multiple_time,0.15288505,0.31095803,0.08408145,0.14881964,0.17418604,False
civil_war,0.4119,0.28075156,0.1630585,0.19201599,0.2619315,False
space_laser,0.33578932,0.5001745,0.35391167,0.29244158,0.37057927,True
little_bit,0.33151892,0.48217514,0.31463054,0.22807448,0.33909976,True
white_woman,0.4435369,0.61170053,0.15370338,0.13242747,0.33534205,False
right_wing,0.33010647,0.51360893,0.30888516,0.13639224,0.3222482,False
human_right,0.15079594,0.16000572,0.34585777,0.04536743,0.17550671,False
district_attorney,0.10777077,0.1977486,0.4265819,0.06428874,0.1990975,True
